ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2
Johor|81440|1.876001|103.614046|83300|1.85359524|103.03089387
Johor|81440|1.876001|103.614046|83400|1.97285833|102.963668
Johor|81440|1.876001|103.614046|83500|1.975481|102.884558
Johor|81440|1.876001|103.614046|83600|1.882279|102.782926
Johor|81440|1.876001|103.614046|83700|2.012567|103.062496
Johor|81440|1.876001|103.614046|84000|2.043699|102.563797
Johor|81440|1.876001|103.614046|84150|1.959748|102.643208
Johor|81440|1.876001|103.614046|84300|2.097444|102.63547
Johor|81440|1.876001|103.614046|84400|2.146578|102.563927
Johor|81440|1.876001|103.614046|84500|2.16567778|102.724472
Johor|81440|1.876001|103.614046|84600|2.148084|102.770065
Johor|81440|1.876001|103.614046|84700|2.207977|102.711164
Johor|81440|1.876001|103.614046|84800|2.212716|102.654792
Johor|81440|1.876001|103.614046|84900|2.276266|102.545695
Johor|81440|1.876001|103.614046|85000|2.510854|102.815861
Johor|81440|1.876001|103.614046|85100|2.576392|102.708061
Johor|81440|1.876001|103.614046|85200|2.43989|102.68478
Johor|81440|1.876001|103.614046|85300|2.381831|103.020378
Johor|81440|1.876001|103.614046|85400|2.24841|103.041481
Johor|81440|1.876001|103.614046|86000|2.033562|103.317863
Johor|81440|1.876001|103.614046|86100|1.95696949213521|103.206130366391
Johor|81440|1.876001|103.614046|86200|1.826888|103.310781
Johor|81440|1.876001|103.614046|86300|1.88443263|103.40286959
Johor|81440|1.876001|103.614046|86400|1.865015|103.110069
Johor|81440|1.876001|103.614046|86500|2.29360198|103.12991681
Johor|81440|1.876001|103.614046|86600|2.186827|103.195048
Johor|81440|1.876001|103.614046|86700|2.35178611|103.67363889
Johor|81440|1.876001|103.614046|86800|2.431857|103.837858
Johor|81440|1.876001|103.614046|86900|2.649929|103.620892
Johor|81450|1.75050278|103.672815|81500|1.507615|103.509637
Johor|81450|1.75050278|103.672815|81550|1.448457|103.590638
Johor|81450|1.75050278|103.672815|81600|1.363912|104.11134
Johor|81450|1.75050278|103.672815|81700|1.46775781|103.90378662
Johor|81450|1.75050278|103.672815|81750|1.487056|103.882415
Johor|81450|1.75050278|103.672815|81800|1.58564722|103.817683
Johor|81450|1.75050278|103.672815|81850|1.817035|103.47473
Johor|81450|1.75050278|103.672815|81900|1.734735|103.899799
Johor|81450|1.75050278|103.672815|81920|1.676373|104.020516
Johor|81450|1.75050278|103.672815|81930|1.555441|104.230902
Johor|81450|1.75050278|103.672815|82000|1.487191|103.388025
Johor|81450|1.75050278|103.672815|82100|1.59693611|103.331408
Johor|81450|1.75050278|103.672815|82200|1.641908|103.259049
Johor|81450|1.75050278|103.672815|82300|1.33643333|103.460628
Johor|81450|1.75050278|103.672815|83000|1.86841|102.943824
Johor|81450|1.75050278|103.672815|83100|1.680822|103.149258
Johor|81450|1.75050278|103.672815|83200|1.7488|103.04918
Johor|81450|1.75050278|103.672815|83300|1.85359524|103.03089387
Johor|81450|1.75050278|103.672815|83400|1.97285833|102.963668
Johor|81450|1.75050278|103.672815|83500|1.975481|102.884558
Johor|81450|1.75050278|103.672815|83600|1.882279|102.782926
Johor|81450|1.75050278|103.672815|83700|2.012567|103.062496
Johor|81450|1.75050278|103.672815|84000|2.043699|102.563797
Johor|81450|1.75050278|103.672815|84150|1.959748|102.643208
Johor|81450|1.75050278|103.672815|84300|2.097444|102.63547
Johor|81450|1.75050278|103.672815|84400|2.146578|102.563927
Johor|81450|1.75050278|103.672815|84500|2.16567778|102.724472
Johor|81450|1.75050278|103.672815|84600|2.148084|102.770065
Johor|81450|1.75050278|103.672815|84700|2.207977|102.711164
Johor|81450|1.75050278|103.672815|84800|2.212716|102.654792
Johor|81450|1.75050278|103.672815|84900|2.276266|102.545695
Johor|81450|1.75050278|103.672815|85000|2.510854|102.815861
Johor|81450|1.75050278|103.672815|85100|2.576392|102.708061
Johor|81450|1.75050278|103.672815|85200|2.43989|102.68478
Johor|81450|1.75050278|103.672815|85300|2.381831|103.020378
Johor|81450|1.75050278|103.672815|85400|2.24841|103.041481
Johor|81450|1.75050278|103.672815|86000|2.033562|103.317863
Johor|81450|1.75050278|103.672815|86100|1.95696949213521|103.206130366391
Johor|81450|1.75050278|103.672815|86200|1.826888|103.310781
Johor|81450|1.75050278|103.672815|86300|1.88443263|103.40286959
Johor|81450|1.75050278|103.672815|86400|1.865015|103.110069
Johor|81450|1.75050278|103.672815|86500|2.29360198|103.12991681
Johor|81450|1.75050278|103.672815|86600|2.186827|103.195048
Johor|81450|1.75050278|103.672815|86700|2.35178611|103.67363889
Johor|81450|1.75050278|103.672815|86800|2.431857|103.837858
Johor|81450|1.75050278|103.672815|86900|2.649929|103.620892
Johor|81500|1.507615|103.509637|81550|1.448457|103.590638
Johor|81500|1.507615|103.509637|81600|1.363912|104.11134
Johor|81500|1.507615|103.509637|81700|1.46775781|103.90378662
Johor|81500|1.507615|103.509637|81750|1.487056|103.882415
Johor|81500|1.507615|103.509637|81800|1.58564722|103.817683
Johor|81500|1.507615|103.509637|81850|1.817035|103.47473
Johor|81500|1.507615|103.509637|81900|1.734735|103.899799
Johor|81500|1.507615|103.509637|81920|1.676373|104.020516
Johor|81500|1.507615|103.509637|81930|1.555441|104.230902
Johor|81500|1.507615|103.509637|82000|1.487191|103.388025
Johor|81500|1.507615|103.509637|82100|1.59693611|103.331408
Johor|81500|1.507615|103.509637|82200|1.641908|103.259049
Johor|81500|1.507615|103.509637|82300|1.33643333|103.460628
Johor|81500|1.507615|103.509637|83000|1.86841|102.943824
Johor|81500|1.507615|103.509637|83100|1.680822|103.149258
Johor|81500|1.507615|103.509637|83200|1.7488|103.04918
Johor|81500|1.507615|103.509637|83300|1.85359524|103.03089387
Johor|81500|1.507615|103.509637|83400|1.97285833|102.963668
Johor|81500|1.507615|103.509637|83500|1.975481|102.884558
Johor|81500|1.507615|103.509637|83600|1.882279|102.782926
Johor|81500|1.507615|103.509637|83700|2.012567|103.062496
Johor|81500|1.507615|103.509637|84000|2.043699|102.563797
Johor|81500|1.507615|103.509637|84150|1.959748|102.643208
Johor|81500|1.507615|103.509637|84300|2.097444|102.63547
Johor|81500|1.507615|103.509637|84400|2.146578|102.563927
Johor|81500|1.507615|103.509637|84500|2.16567778|102.724472
Johor|81500|1.507615|103.509637|84600|2.148084|102.770065
Johor|81500|1.507615|103.509637|84700|2.207977|102.711164
Johor|81500|1.507615|103.509637|84800|2.212716|102.654792
Johor|81500|1.507615|103.509637|84900|2.276266|102.545695
Johor|81500|1.507615|103.509637|85000|2.510854|102.815861
Johor|81500|1.507615|103.509637|85100|2.576392|102.708061
Johor|81500|1.507615|103.509637|85200|2.43989|102.68478
Johor|81500|1.507615|103.509637|85300|2.381831|103.020378
Johor|81500|1.507615|103.509637|85400|2.24841|103.041481
Johor|81500|1.507615|103.509637|86000|2.033562|103.317863
Johor|81500|1.507615|103.509637|86100|1.95696949213521|103.206130366391
Johor|81500|1.507615|103.509637|86200|1.826888|103.310781
Johor|81500|1.507615|103.509637|86300|1.88443263|103.40286959
Johor|81500|1.507615|103.509637|86400|1.865015|103.110069
Johor|81500|1.507615|103.509637|86500|2.29360198|103.12991681
Johor|81500|1.507615|103.509637|86600|2.186827|103.195048
Johor|81500|1.507615|103.509637|86700|2.35178611|103.67363889
Johor|81500|1.507615|103.509637|86800|2.431857|103.837858
Johor|81500|1.507615|103.509637|86900|2.649929|103.620892
Johor|81550|1.448457|103.590638|81600|1.363912|104.11134
Johor|81550|1.448457|103.590638|81700|1.46775781|103.90378662
Johor|81550|1.448457|103.590638|81750|1.487056|103.882415
Johor|81550|1.448457|103.590638|81800|1.58564722|103.817683
Johor|81550|1.448457|103.590638|81850|1.817035|103.47473
Johor|81550|1.448457|103.590638|81900|1.734735|103.899799
Johor|81550|1.448457|103.590638|81920|1.676373|104.020516
Johor|81550|1.448457|103.590638|81930|1.555441|104.230902
Johor|81550|1.448457|103.590638|82000|1.487191|103.388025
Johor|81550|1.448457|103.590638|82100|1.59693611|103.331408
Johor|81550|1.448457|103.590638|82200|1.641908|103.259049
Johor|81550|1.448457|103.590638|82300|1.33643333|103.460628
Johor|81550|1.448457|103.590638|83000|1.86841|102.943824
Johor|81550|1.448457|103.590638|83100|1.680822|103.149258
Johor|81550|1.448457|103.590638|83200|1.7488|103.04918
Johor|81550|1.448457|103.590638|83300|1.85359524|103.03089387
Johor|81550|1.448457|103.590638|83400|1.97285833|102.963668
Johor|81550|1.448457|103.590638|83500|1.975481|102.884558
Johor|81550|1.448457|103.590638|83600|1.882279|102.782926
Johor|81550|1.448457|103.590638|83700|2.012567|103.062496
Johor|81550|1.448457|103.590638|84000|2.043699|102.563797
Johor|81550|1.448457|103.590638|84150|1.959748|102.643208
Johor|81550|1.448457|103.590638|84300|2.097444|102.63547
Johor|81550|1.448457|103.590638|84400|2.146578|102.563927
Johor|81550|1.448457|103.590638|84500|2.16567778|102.724472
Johor|81550|1.448457|103.590638|84600|2.148084|102.770065
Johor|81550|1.448457|103.590638|84700|2.207977|102.711164
Johor|81550|1.448457|103.590638|84800|2.212716|102.654792
Johor|81550|1.448457|103.590638|84900|2.276266|102.545695
Johor|81550|1.448457|103.590638|85000|2.510854|102.815861
Johor|81550|1.448457|103.590638|85100|2.576392|102.708061
Johor|81550|1.448457|103.590638|85200|2.43989|102.68478
Johor|81550|1.448457|103.590638|85300|2.381831|103.020378
Johor|81550|1.448457|103.590638|85400|2.24841|103.041481
Johor|81550|1.448457|103.590638|86000|2.033562|103.317863
Johor|81550|1.448457|103.590638|86100|1.95696949213521|103.206130366391
Johor|81550|1.448457|103.590638|86200|1.826888|103.310781
Johor|81550|1.448457|103.590638|86300|1.88443263|103.40286959
Johor|81550|1.448457|103.590638|86400|1.865015|103.110069
Johor|81550|1.448457|103.590638|86500|2.29360198|103.12991681
Johor|81550|1.448457|103.590638|86600|2.186827|103.195048
Johor|81550|1.448457|103.590638|86700|2.35178611|103.67363889
Johor|81550|1.448457|103.590638|86800|2.431857|103.837858
Johor|81550|1.448457|103.590638|86900|2.649929|103.620892
Johor|81600|1.363912|104.11134|81700|1.46775781|103.90378662
Johor|81600|1.363912|104.11134|81750|1.487056|103.882415
Johor|81600|1.363912|104.11134|81800|1.58564722|103.817683
Johor|81600|1.363912|104.11134|81850|1.817035|103.47473
Johor|81600|1.363912|104.11134|81900|1.734735|103.899799
Johor|81600|1.363912|104.11134|81920|1.676373|104.020516
Johor|81600|1.363912|104.11134|81930|1.555441|104.230902
Johor|81600|1.363912|104.11134|82000|1.487191|103.388025
Johor|81600|1.363912|104.11134|82100|1.59693611|103.331408
Johor|81600|1.363912|104.11134|82200|1.641908|103.259049
Johor|81600|1.363912|104.11134|82300|1.33643333|103.460628
Johor|81600|1.363912|104.11134|83000|1.86841|102.943824
